1702833524.620456 client started (15420): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702833524.620529 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Wed Jul  5 22:21:53 PDT 2023; root:xnu-8796.141.3~6/RELEASE_ARM64_T6020
1702833524.620549 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1702833524.620574 flags are 0x18010000
1702833524.620583 socket is /private/tmp/tmux-501/default
1702833524.620599 trying connect
1702833524.620670 add peer 0x130048000: 6 (0x0)
1702833524.623467 sending message 100 to peer 0x130048000 (4 bytes)
1702833524.623483 sending message 111 to peer 0x130048000 (8 bytes)
1702833524.623491 sending message 101 to peer 0x130048000 (10 bytes)
1702833524.623498 sending message 109 to peer 0x130048000 (4 bytes)
1702833524.623504 sending message 102 to peer 0x130048000 (13 bytes)
1702833524.623511 sending message 108 to peer 0x130048000 (24 bytes)
1702833524.623518 sending message 112 to peer 0x130048000 (58 bytes)
1702833524.623525 sending message 112 to peer 0x130048000 (5 bytes)
1702833524.623532 sending message 112 to peer 0x130048000 (5 bytes)
1702833524.623538 sending message 112 to peer 0x130048000 (6 bytes)
1702833524.623545 sending message 112 to peer 0x130048000 (6 bytes)
1702833524.623551 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.623558 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623564 sending message 112 to peer 0x130048000 (14 bytes)
1702833524.623570 sending message 112 to peer 0x130048000 (19 bytes)
1702833524.623577 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.623584 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.623590 sending message 112 to peer 0x130048000 (15 bytes)
1702833524.623596 sending message 112 to peer 0x130048000 (21 bytes)
1702833524.623603 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623610 sending message 112 to peer 0x130048000 (7 bytes)
1702833524.623616 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623623 sending message 112 to peer 0x130048000 (7 bytes)
1702833524.623630 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623636 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623643 sending message 112 to peer 0x130048000 (21 bytes)
1702833524.623649 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623656 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623662 sending message 112 to peer 0x130048000 (16 bytes)
1702833524.623669 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623675 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623681 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623688 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623694 sending message 112 to peer 0x130048000 (8 bytes)
1702833524.623700 sending message 112 to peer 0x130048000 (8 bytes)
1702833524.623706 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623713 sending message 112 to peer 0x130048000 (7 bytes)
1702833524.623719 sending message 112 to peer 0x130048000 (7 bytes)
1702833524.623725 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623731 sending message 112 to peer 0x130048000 (6 bytes)
1702833524.623737 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623744 sending message 112 to peer 0x130048000 (15 bytes)
1702833524.623750 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.623756 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623762 sending message 112 to peer 0x130048000 (8 bytes)
1702833524.623768 sending message 112 to peer 0x130048000 (14 bytes)
1702833524.623774 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.623781 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.623787 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.623793 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.623799 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.623805 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.623811 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.623831 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623835 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623839 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623843 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623848 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623852 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.623856 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.623860 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623864 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623868 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623872 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.623876 sending message 112 to peer 0x130048000 (12 bytes)
